"cod identificare fiscala"	"denumire"	"obligatii principale la bugetul de stat"	"obligatii accesorii la bugetul de stat"	"obligatii contestate la bugetul de stat"	"obligatii principale la bugetul asigurarilor sociale"	"obligatii accesorii la bugetul asigurarilor sociale"	"obligatii contesate la bugetul asigurarilor sociale"	"obligatii principale la bugetul asigurarilor de somaj"	"obligatii accesorii la bugetul asigurarilor de somaj"	"obligatii contestate la bugetul asigurarilor de somaj"	"obligatii principale la bugetul de sanatate"	"obligatii accesorii la bugetul de sanatate"	"obligatii contestate la bugetul de sanatate"
"6089555"	"ROSAL GRUP SA"	"2950172"	"166032"	"0"	"998870"	"29395"	"0"	"39998"	"1212"	"0"	"440984"	"12580"	"0"
"4800537"	"ROMSYS SRL"	"4441461"	"21606712"	"0"	"753888"	"0"	"0"	"35850"	"0"	"0"	"337550"	"0"	"0"
"3485911"	"HONEYWELL LIFE SAFETY ROMANIA S.R.L."	"0"	"0"	"0"	"677870"	"0"	"0"	"32320"	"0"	"0"	"279005"	"0"	"0"
"3884955"	"SUPERCOM SA"	"1720151"	"0"	"0"	"497629"	"0"	"0"	"22048"	"0"	"0"	"208244"	"9194"	"0"
"8119423"	"METRO CASH & CARRY ROMANIA SRL"	"49684182"	"0"	"49684182"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"9443052"	"AUTOCORA S.R.L."	"1429607"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"9449810"	"LAGERMAX AUTOTRANSPORT SRL"	"43271"	"0"	"0"	"461621"	"0"	"0"	"21536"	"0"	"0"	"183502"	"0"	"0"
"8631856"	"BANCA ROMANA DE SCONT S.A."	"50789"	"704"	"0"	"136545"	"0"	"0"	"2345"	"0"	"0"	"62759"	"0"	"0"
"8204170"	"AMEROPA GRAINS SA"	"5954404"	"0"	"0"	"1688157"	"0"	"0"	"82885"	"0"	"0"	"761602"	"0"	"0"
"8208253"	"COMCEREAL SA"	"0"	"0"	"0"	"102477"	"0"	"0"	"4638"	"0"	"0"	"48394"	"0"	"0"
"8223504"	"WHIRLPOOL ROMANIA SRL"	"3399663"	"0"	"3399663"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"9115330"	"DAEWOO-MANGALIA HEAVY INDUSTRIES SA"	"14737447"	"0"	"0"	"19854787"	"0"	"0"	"925510"	"0"	"0"	"7945903"	"0"	"0"
"9194636"	"DOLY-COM SRL"	"47578384"	"54147310"	"96454327"	"1629114"	"4553"	"0"	"76854"	"217"	"0"	"580151"	"1849"	"0"
"8468440"	"SOCIETATEA ROMANA DE TELEVIZIUNE"	"109408177"	"60910111"	"0"	"102108706"	"29461310"	"0"	"4310399"	"1156279"	"0"	"35527052"	"9718769"	"0"
"8987277"	"AGRIUM-AGROPORT ROMANIA S.A."	"111630"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"6789850"	"FIDELIS ENERGY SRL"	"916041"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"6312800"	"ELECTROPUTERE SA"	"1205896"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"6315636"	"SAM MILLS S.R.L."	"280558"	"0"	"0"	"132240"	"0"	"0"	"6185"	"0"	"0"	"52584"	"0"	"0"
"7722930"	"INTERAGRO SA"	"4010674"	"404729"	"0"	"1206775"	"90995"	"0"	"53832"	"4008"	"0"	"569115"	"43223"	"0"
"7254081"	"ANGHEL N.G. SRL"	"381337"	"27269"	"0"	"656033"	"21440"	"0"	"29134"	"937"	"0"	"246846"	"8172"	"0"
"6641101"	"AVITECH CO. SRL"	"887412"	"37319"	"0"	"184135"	"1934"	"0"	"8523"	"90"	"0"	"74442"	"784"	"0"
"6382686"	"ROLEM S.R.L."	"6790048"	"50785"	"0"	"8964500"	"2170"	"0"	"291141"	"1282"	"0"	"2841263"	"400"	"0"
"6646680"	"KRONOSPAN ROMANIA SRL"	"112600"	"0"	"0"	"198688"	"0"	"0"	"9649"	"0"	"0"	"83089"	"0"	"0"
"6662490"	"MITLIV EXIM SRL"	"0"	"2263135"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"6443910"	"INTERNATIONAL LAZAR COMPANY SRL"	"316613"	"0"	"0"	"141960"	"0"	"0"	"0"	"0"	"0"	"17585"	"0"	"0"
"7366654"	"ATP - EXODUS SRL"	"1013722"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"6951013"	"NIRO INVESTMENT SA"	"1379608"	"0"	"0"	"23790"	"0"	"0"	"727"	"0"	"0"	"5861"	"0"	"0"
"6702918"	"METALICPLAS IMPEX S.A."	"27885"	"0"	"0"	"243060"	"0"	"0"	"6306"	"0"	"0"	"72704"	"0"	"0"
"6468290"	"AVE IMPEX S.R.L."	"50524"	"0"	"0"	"107838"	"0"	"0"	"4666"	"0"	"0"	"42624"	"0"	"0"
"6981790"	"SERGIANA PRODIMPEX SRL"	"526852"	"27469"	"0"	"0"	"19705"	"0"	"3648"	"1135"	"0"	"0"	"7012"	"0"
"6719278"	"MEGA IMAGE SRL"	"24569530"	"0"	"24569530"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"6528510"	"AGIS COMPUTER S.R.L."	"3186067"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"6531770"	"UNICARM SRL"	"0"	"3938822"	"0"	"0"	"8793813"	"0"	"0"	"326797"	"0"	"0"	"2946579"	"0"
"6551041"	"ROMPAK SRL"	"650047"	"677485"	"0"	"110026"	"0"	"0"	"8498"	"0"	"0"	"37955"	"0"	"0"
"12337680"	"FRASINUL SRL"	"779996"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"12439094"	"TOMINI TRADING SRL"	"208884"	"255296"	"0"	"111733"	"585"	"0"	"4610"	"24"	"0"	"43371"	"235"	"0"
"12457015"	"EUROPEAN FOOD S.A."	"380553840"	"20263733"	"400103442"	"502301"	"15114"	"0"	"23030"	"670"	"0"	"199899"	"6156"	"0"
"11588780"	"CARREFOUR ROMANIA SA"	"16848370"	"17277960"	"34126330"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"12470111"	"KEY SAFETY SYSTEMS RO SRL"	"0"	"552581"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"11680026"	"REGENCY COMPANY SRL"	"186287"	"32827"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"11805367"	"SELGROS CASH & CARRY SRL"	"29203804"	"0"	"29202355"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"10041768"	"CHEMARK ROM SRL"	"470896"	"5644"	"0"	"213730"	"0"	"0"	"9980"	"0"	"0"	"89737"	"0"	"0"
"11452974"	"LOSAN ROMANIA SRL"	"315785"	"0"	"0"	"536428"	"0"	"0"	"11942"	"0"	"0"	"108152"	"0"	"0"
"10102377"	"C.E.T. GOVORA SA"	"0"	"315147"	"0"	"0"	"189799"	"0"	"0"	"8042"	"0"	"0"	"72724"	"0"
"9641092"	"AUTOLIV ROMANIA SRL"	"0"	"0"	"0"	"3240223"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"9646278"	"CEREALCOM DOLJ SRL"	"0"	"7980192"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"11054537"	"SOCIETATEA NATIONALA DE TRANSPORT FEROVIAR DE MARFA ""CFR - MARFA"" SA"	"2811364"	"0"	"0"	"2298721"	"143048"	"0"	"0"	"2173"	"0"	"223"	"36564"	"0"
"11075840"	"VIESSMANN S.R.L."	"12922179"	"0"	"0"	"825354"	"0"	"0"	"41649"	"0"	"0"	"370185"	"0"	"0"
"11147490"	"SANOFI ROMANIA SRL"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"39772165"	"39772165"
"11168477"	"XPO TRANSPORT SOLUTIONS ROMANIA SRL"	"0"	"180901"	"0"	"157016"	"0"	"0"	"7401"	"0"	"0"	"63313"	"0"	"0"
"9833691"	"COMPANIA ROMANA DE ASIGURARI - SOCIETATE DE ASIGURARE-REASIGURARE (CROMA) SA"	"102267"	"158728"	"0"	"204968"	"223466"	"0"	"39799"	"53630"	"0"	"50450"	"4144"	"0"
"10392742"	"SOCIETATEA DE ASIGURARE-REASIGURARE CITY INSURANCE SA"	"11622765"	"6955006"	"18577771"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"14193726"	"ALFREDO FRESH SRL"	"3641030"	"104545"	"0"	"95310"	"109"	"0"	"4450"	"5"	"0"	"34571"	"72"	"0"
"14506181"	"FILIALA DE DISTRIBUŢIE A ENERGIEI ELECTRICE ""ELECTRICA DISTRIBUŢIE MUNTENIA NORD"" SA"	"0"	"10435832"	"10435832"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"14554103"	"HOLZINDUSTRIE SCHWEIGHOFER S.R.L."	"7715313"	"0"	"0"	"12214347"	"0"	"0"	"581862"	"0"	"0"	"4990048"	"0"	"0"
"14723741"	"TURBON ROMÂNIA SRL"	"10"	"0"	"0"	"186576"	"0"	"0"	"8712"	"0"	"0"	"74340"	"0"	"0"
"14730293"	"EXPERT ONE RESEARCH SRL"	"773744"	"0"	"0"	"138242"	"0"	"0"	"6510"	"0"	"0"	"58321"	"0"	"0"
"13467530"	"SAMMILLS DISTRIBUTION S.R.L."	"323361"	"10290"	"0"	"310093"	"13176"	"0"	"14397"	"618"	"0"	"124132"	"5435"	"0"
"13908032"	"CONFEZIONI ANDREA ROMÂNIA S.R.L."	"139942"	"0"	"0"	"306663"	"0"	"0"	"14182"	"0"	"0"	"121311"	"0"	"0"
"13267221"	"SOCIETATEA DE DISTRIBUŢIE ŞI FURNIZARE A ENERGIEI ELECTRICE - ""ELECTRICA"" S.A."	"29667014"	"11703897"	"0"	"22"	"35"	"0"	"0"	"92"	"0"	"0"	"138"	"0"
"13569912"	"SILNEF SRL"	"1009303"	"35906"	"0"	"727670"	"0"	"0"	"32391"	"0"	"0"	"299454"	"0"	"0"
"13603836"	"INTERAGRO S.R.L."	"9028242"	"622883"	"0"	"3782510"	"120894"	"0"	"84687"	"2505"	"0"	"1625032"	"49315"	"0"
"13990040"	"ASESOFT INTERNATIONAL SA"	"229316"	"3024692"	"3017942"	"141588"	"2019"	"0"	"6365"	"94"	"0"	"58265"	"858"	"0"
"13997714"	"EATON ELECTRO PRODUCTIE S.R.L."	"270"	"961"	"961"	"603164"	"10627"	"10104"	"28235"	"800"	"768"	"239515"	"6818"	"6602"
"14056826"	"SOCIETATEA NATIONALA DE GAZE NATURALE "" ROMGAZ "" SA"	"9369662"	"9482760"	"18852422"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"15633191"	"TRANSFEROVIAR GRUP SA"	"9622544"	"647199"	"0"	"2650720"	"48916"	"0"	"111517"	"2044"	"0"	"1068908"	"19625"	"0"
"15319440"	"TECHNOSTEEL LBR SRL"	"0"	"0"	"0"	"106432"	"0"	"0"	"3159"	"0"	"0"	"21904"	"0"	"0"
"15371295"	"DTR DRAXLMAIER SISTEME TEHNICE ROMANIA SRL"	"487941"	"0"	"0"	"277"	"0"	"0"	"14"	"0"	"0"	"28"	"0"	"0"
"15087723"	"CONNECTRONICS ROMANIA S.R.L."	"1346100"	"0"	"0"	"410050"	"0"	"0"	"19063"	"0"	"0"	"162101"	"0"	"0"
"15137236"	"ANVIS ROM SRL"	"333877"	"0"	"0"	"602893"	"0"	"0"	"28578"	"0"	"0"	"243753"	"0"	"0"
"15246594"	"ROMAR SHIPPING AGENCY SRL"	"265048"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"16344329"	"SAPA PROFILES S.R.L."	"83324"	"0"	"0"	"154397"	"0"	"0"	"7342"	"0"	"0"	"62821"	"0"	"0"
"16012192"	"CONVENIENCE PROD S.R.L."	"37504"	"0"	"0"	"109183"	"0"	"0"	"5115"	"0"	"0"	"43719"	"0"	"0"
"16139618"	"LG Electronics Romania SRL"	"34111810"	"25195375"	"59307185"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
