"cod identificare fiscala"	"denumire"	"obligatii principale la bugetul de stat"	"obligatii accesorii la bugetul de stat"	"obligatii contestate la bugetul de stat"	"obligatii principale la bugetul asigurarilor sociale"	"obligatii accesorii la bugetul asigurarilor sociale"	"obligatii contesate la bugetul asigurarilor sociale"	"obligatii principale la bugetul asigurarilor de somaj"	"obligatii accesorii la bugetul asigurarilor de somaj"	"obligatii contestate la bugetul asigurarilor de somaj"	"obligatii principale la bugetul de sanatate"	"obligatii accesorii la bugetul de sanatate"	"obligatii contestate la bugetul de sanatate"
"24927692"	"CHARGEADS SRL"	"452827"	"0"	"0"	"15956"	"0"	"0"	"619"	"0"	"0"	"6627"	"0"	"0"
"24650825"	"EVOPRO SYSTEMS ENGINEERING SRL"	"318535"	"0"	"0"	"79296"	"5686"	"0"	"3691"	"265"	"0"	"34110"	"2461"	"0"
"24805474"	"TAFI GRUP SERVICE S.R.L."	"95963"	"93054"	"0"	"88780"	"29877"	"0"	"3561"	"1180"	"0"	"32458"	"10720"	"0"
"24936216"	"SEA POINT CONSULTANTS SRL"	"0"	"74649"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"24936224"	"SION SECURITY SRL"	"1069252"	"167357"	"0"	"639017"	"96155"	"0"	"28658"	"3699"	"0"	"258756"	"33743"	"0"
"24948725"	"ELVIS PETROL S.R.L."	"11845864"	"3748184"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"403059"	"0"	"0"
"24541011"	"OLYMPOS INVEST SRL"	"30378"	"20239"	"0"	"102047"	"70473"	"0"	"4325"	"2699"	"0"	"38706"	"24145"	"0"
"24543241"	"PROIECTE IMOBILIARE SRL"	"669372"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"24679686"	"GLAMOUR DESIGN S.R.L."	"88623"	"9117"	"0"	"175"	"97"	"0"	"8"	"1"	"0"	"76"	"42"	"0"
"24550060"	"EUROPE METAL TRADE SRL"	"146473"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"24825269"	"FERMA ROM - AU SRL"	"116719"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"24978785"	"CHEMGAS HOLDING CORPORATION S.R.L."	"19364006"	"7365598"	"0"	"22214875"	"7428807"	"0"	"766037"	"246821"	"0"	"5975371"	"2013461"	"0"
